title,date
Neural Nets from scratch,2023-01-11
Regularization I,2023-01-16
Building Micrograd,2023-01-23
Building Micrograd II,2023-01-25
MLP,2023-01-30
Initialization,2023-02-01
Text generation with Bigrams,2023-02-06
Text generation with Bigrams II,2023-02-08
Pytorch Lightning,2023-02-20
Weight initialization and batch norm,2023-02-27
PyTorch modules,2023-03-03
Manual Backprop,2023-03-06
MLP II,2023-03-13
Transfer Learning,2023-03-15
Transfer Learning II,2023-03-16
Huggingface demo,2023-04-12
